이름,국어,영어,수학,과학
학생1,98,,88,64
학생2,88,90,62,72
학생3,92,70,,
학생4,63,60,31,70
학생5,100,50,,88
학생6,56,49,90,44
학생7,34,28,16,0
학생8,37,13,9,41
학생9,14,17,21,77
학생10,37,20,3,77
학생11,19,97,28,77
학생12,57,85,33,84
학생13,10,21,67,54
학생14,79,74,14,59
학생15,96,67,66,48
학생16,46,25,54,56
학생17,66,32,77,24
학생18,46,25,2,12
학생19,26,10,49,74
학생20,97,68,65,33
학생21,86,70,99,45
학생22,31,62,37,82
학생23,43,88,11,56
학생24,6,98,96,74
학생25,41,75,8,22
학생26,29,45,94,70
학생27,83,84,32,91
학생28,91,1,53,32
학생29,89,59,10,29
학생30,84,58,70,25
학생31,96,95,10,4
학생32,83,7,64,9
학생33,67,38,63,26
학생34,50,72,14,86
학생35,60,28,49,59
학생36,71,11,49,62
학생37,32,63,31,96
학생38,72,6,73,22
학생39,29,93,2,85
학생40,,56,64,24
학생41,98,,88,64
학생42,88,90,62,72
학생43,92,70,,
학생44,63,60,31,70
학생45,21,50,,88
학생46,98,,88,64
학생47,88,90,62,72
학생48,92,70,,
학생49,63,60,31,70
학생50,54,50,,88
학생51,64,3,73,83
학생52,78,58,20,47
학생53,13,82,57,1
학생54,4,11,81,76
학생55,3,25,26,67
학생56,96,78,1,6
학생57,78,31,70,91
학생58,4,63,59,23
학생59,29,67,49,28
학생60,93,56,63,55
학생61,57,65,12,47
학생62,20,74,56,17
학생63,6,61,0,20
학생64,3,11,83,45
학생65,4,82,88,69
학생66,62,5,92,67
학생67,4,12,73,73
학생68,84,58,70,25
학생69,96,95,10,4
학생70,83,7,64,9
학생71,67,38,63,26
학생72,50,72,14,86
학생73,60,28,49,59
학생74,71,11,49,62
학생75,32,63,31,96
학생76,72,6,73,22
학생77,29,93,2,85
학생78,,56,64,24
학생79,98,,88,64
학생80,88,90,62,72
학생81,92,70,,
학생82,63,60,31,70
학생83,21,50,,88
학생84,98,,88,64
학생85,88,90,62,72
학생86,92,70,,
학생87,63,60,31,70
학생88,54,50,,88
학생89,64,3,73,83
학생90,83,91,32,99
학생91,5,55,11,65
학생92,7,40,10,3
학생93,55,46,74,35
학생94,97,70,20,27
학생95,92,61,42,88
학생96,16,10,41,55
학생97,47,33,64,65
학생98,14,40,90,41
학생99,3,74,48,49
학생100,52,64,68,85
학생101,26,87,93,36
학생102,30,51,30,62
학생103,72,44,80,13
학생104,35,49,30,41
학생105,52,60,1,14
학생106,12,65,86,76
학생107,79,21,11,41
학생108,13,33,72,92
학생109,57,68,33,33
학생110,48,44,37,83
학생111,66,88,81,66
학생112,44,15,44,46
학생113,99,2,96,90
학생114,57,4,12,85
학생115,4,77,57,83
학생116,74,23,52,64
학생117,84,58,70,25
학생118,96,95,10,4
학생119,83,7,64,9
학생120,67,38,63,26
학생121,50,72,14,86
학생122,60,28,49,59
학생123,71,11,49,62
학생124,32,63,31,96
학생125,72,6,73,22
학생126,29,93,2,85
학생127,,56,64,24
학생128,98,,88,64
학생129,88,90,62,72
학생130,92,70,55,
학생131,63,60,55,70
학생132,21,50,55,88
학생133,98,,88,64
학생134,88,90,62,72
학생135,92,70,75,85
학생136,63,60,31,70
학생137,54,50,23,88
학생138,64,54,73,83
학생139,89,36,63,14
학생140,83,26,81,98
학생141,18,51,17,6
학생142,63,60,55,70
학생143,21,50,55,88
학생144,98,,88,64
학생145,88,90,62,72
학생146,92,70,75,85
학생147,63,60,31,70
학생148,54,50,23,88
학생149,64,54,73,83
학생150,89,36,63,14
학생151,83,26,81,98
학생152,18,51,17,6
학생153,33,95,77,95
학생154,86,34,31,18
학생155,61,31,97,69
학생156,79,87,93,86
학생157,68,75,10,58
학생158,36,59,90,54
학생159,55,25,13,30
학생160,63,60,55,70
학생161,21,50,55,88
학생162,98,,88,64
학생163,88,90,62,72
학생164,92,70,75,85
학생165,63,60,31,70
학생166,54,50,23,88
학생167,64,54,73,83
학생168,89,36,63,14
학생169,83,26,81,98
학생170,18,51,17,6
학생171,73,89,73,78
학생172,45,11,99,81
학생173,88,10,87,7
학생174,10,67,56,93
학생175,97,82,93,67
학생176,4,86,62,94
학생177,72,47,72,89
학생178,13,56,64,34
학생179,46,56,39,24
학생180,70,41,86,93
학생181,20,88,73,46
학생182,63,60,55,70
학생183,21,50,55,88
학생184,98,90,88,64
학생185,88,90,62,72
학생186,92,70,75,85
학생187,63,60,31,70
학생188,54,50,23,88
학생189,64,54,73,83
학생190,89,36,63,14
학생191,83,26,81,98
학생192,18,51,17,6
학생193,74,85,95,70
학생194,46,56,39,24
학생195,70,41,86,93
학생196,20,88,73,46
학생197,63,60,55,70
학생198,21,50,55,88
학생199,98,90,88,64
학생200,88,90,62,72
학생201,92,70,75,85
학생202,63,60,31,70
학생203,54,50,23,88
학생204,64,54,73,83
학생205,89,36,63,14
학생206,83,26,81,98
학생207,18,51,17,6
학생208,42,92,61,10
학생209,46,56,39,24
학생210,70,41,86,93
학생211,20,88,73,46
학생212,63,60,55,70
학생213,21,50,55,88
학생214,98,90,88,64
학생215,88,90,62,72
학생216,92,70,75,85
학생217,63,60,31,70
학생218,54,50,23,88
학생219,64,54,73,83
학생220,89,36,63,14
학생221,83,26,81,98
학생222,18,51,17,6
학생223,62,69,84,80
학생224,54,34,56,46
학생225,40,67,26,96
학생226,55,85,46,81
학생227,35,53,86,12
학생228,42,59,79,10
학생229,20,83,28,69
학생230,14,53,19,32
학생231,77,75,75,98
학생232,45,30,62,89
학생233,69,47,71,90
학생234,51,57,16,0
학생235,28,69,8,6
학생236,55,46,97,73
학생237,52,79,44,16
학생238,33,62,83,0
학생239,79,12,53,43
학생240,55,56,92,40
학생241,46,56,39,24
학생242,70,41,86,93
학생243,20,88,73,46
학생244,63,60,55,70
학생245,21,50,55,88
학생246,98,90,88,64
학생247,88,90,62,72
학생248,92,70,75,85
학생249,63,60,31,70
학생250,54,50,23,88
학생251,64,54,73,83
학생252,89,36,63,14
학생253,83,26,81,98
학생254,18,51,17,6
학생255,46,56,39,24
학생256,70,41,86,93
학생257,20,88,73,46
학생258,63,60,55,70
학생259,21,50,55,88
학생260,98,90,88,64
학생261,88,90,62,72
학생262,92,70,75,85
